zone,week,person,table,group,role
Zone 2,1,Person 4,1,1,Leader
Zone 2,1,Person 839,1,1,Scribe
Zone 2,1,Person 1679,1,1,Researcher
Zone 2,1,Person 2469,1,1,
Zone 2,1,Person 3396,1,1,
Zone 2,1,Person 4217,1,1,
Zone 2,1,Person 8,2,2,Leader
Zone 2,1,Person 846,2,2,Scribe
Zone 2,1,Person 1685,2,2,Researcher
Zone 2,1,Person 2472,2,2,
Zone 2,1,Person 3409,2,2,
Zone 2,1,Person 4221,2,2,
Zone 2,1,Person 13,3,3,Leader
Zone 2,1,Person 849,3,3,Scribe
Zone 2,1,Person 1690,3,3,Researcher
Zone 2,1,Person 2475,3,3,
Zone 2,1,Person 3421,3,3,
Zone 2,1,Person 4236,3,3,
Zone 2,1,Person 16,4,4,Leader
Zone 2,1,Person 855,4,4,Scribe
Zone 2,1,Person 1696,4,4,Researcher
Zone 2,1,Person 2481,4,4,
Zone 2,1,Person 3433,4,4,
Zone 2,1,Person 4240,4,4,
Zone 2,1,Person 21,5,5,Leader
Zone 2,1,Person 857,5,5,Scribe
Zone 2,1,Person 1704,5,5,Researcher
Zone 2,1,Person 2505,5,5,
Zone 2,1,Person 3447,5,5,
Zone 2,1,Person 4243,5,5,
Zone 2,1,Person 33,6,6,Leader
Zone 2,1,Person 862,6,6,Scribe
Zone 2,1,Person 1707,6,6,Researcher
Zone 2,1,Person 2506,6,6,
Zone 2,1,Person 3450,6,6,
Zone 2,1,Person 4244,6,6,
Zone 2,1,Person 38,7,7,Leader
Zone 2,1,Person 867,7,7,Scribe
Zone 2,1,Person 1713,7,7,Researcher
Zone 2,1,Person 2515,7,7,
Zone 2,1,Person 3456,7,7,
Zone 2,1,Person 4248,7,7,
Zone 2,1,Person 44,8,8,Leader
Zone 2,1,Person 871,8,8,Scribe
Zone 2,1,Person 1715,8,8,Researcher
Zone 2,1,Person 2517,8,8,
Zone 2,1,Person 3467,8,8,
Zone 2,1,Person 4249,8,8,
Zone 2,1,Person 45,9,9,Leader
Zone 2,1,Person 873,9,9,Scribe
Zone 2,1,Person 1717,9,9,Researcher
Zone 2,1,Person 2519,9,9,
Zone 2,1,Person 3473,9,9,
Zone 2,1,Person 4252,9,9,
Zone 2,1,Person 49,10,10,Leader
Zone 2,1,Person 874,10,10,Scribe
Zone 2,1,Person 1718,10,10,Researcher
Zone 2,1,Person 2520,10,10,
Zone 2,1,Person 3476,10,10,
Zone 2,1,Person 4258,10,10,
Zone 2,1,Person 54,11,11,Leader
Zone 2,1,Person 882,11,11,Scribe
Zone 2,1,Person 1720,11,11,Researcher
Zone 2,1,Person 2525,11,11,
Zone 2,1,Person 3495,11,11,
Zone 2,1,Person 4263,11,11,
Zone 2,1,Person 68,12,12,Leader
Zone 2,1,Person 889,12,12,Scribe
Zone 2,1,Person 1722,12,12,Researcher
Zone 2,1,Person 2526,12,12,
Zone 2,1,Person 3496,12,12,
Zone 2,1,Person 4268,12,12,
Zone 2,1,Person 70,13,13,Leader
Zone 2,1,Person 891,13,13,Scribe
Zone 2,1,Person 1730,13,13,Researcher
Zone 2,1,Person 2537,13,13,
Zone 2,1,Person 3501,13,13,
Zone 2,1,Person 4273,13,13,
Zone 2,1,Person 84,14,14,Leader
Zone 2,1,Person 893,14,14,Scribe
Zone 2,1,Person 1741,14,14,Researcher
Zone 2,1,Person 2540,14,14,
Zone 2,1,Person 3510,14,14,
Zone 2,1,Person 4277,14,14,
Zone 2,1,Person 86,15,15,Leader
Zone 2,1,Person 896,15,15,Scribe
Zone 2,1,Person 1742,15,15,Researcher
Zone 2,1,Person 2543,15,15,
Zone 2,1,Person 3518,15,15,
Zone 2,1,Person 4279,15,15,
Zone 2,1,Person 103,16,16,Leader
Zone 2,1,Person 898,16,16,Scribe
Zone 2,1,Person 1743,16,16,Researcher
Zone 2,1,Person 2544,16,16,
Zone 2,1,Person 3519,16,16,
Zone 2,1,Person 4282,16,16,
Zone 2,1,Person 106,17,17,Leader
